Fecha,Mes,Temporada,Season,Predio,M3,TH,TS,CH,M3_TS,Este,Norte
14-07-2007,7,Lluviosa,Winter,Cerro Verde,89.87,24.53,13.7654321,78.2,6.528672646,764624.46,5890891.94
17-07-2007,7,Lluviosa,Winter,Cerro Verde,92.01,26.94,14.76164384,82.5,6.233045657,764624.46,5890891.94
17-07-2007,7,Lluviosa,Winter,Cerro Verde,93.5,25.52,12.86938981,98.3,7.265301724,764624.46,5890891.94
18-07-2007,7,Lluviosa,Winter,Cerro Verde,89.75,27.7,13.69253584,102.3,6.554666065,764624.46,5890891.94
19-07-2007,7,Lluviosa,Winter,Cerro Verde,88.63,25.64,13.34027055,92.2,6.643793292,764624.46,5890891.94
19-07-2007,7,Lluviosa,Winter,Cerro Verde,92.23,25.66,14.72174412,74.3,6.264882697,764624.46,5890891.94
21-07-2007,7,Lluviosa,Winter,Cerro Verde,87.13,24.15,12.73062731,89.7,6.844124638,764624.46,5890891.94
30-01-2007,1,Seca,Summer,Dadinco,91.97,23.58,20.08517888,17.4,4.578998304,749095.95,5951201.64
30-01-2007,1,Seca,Summer,Dadinco,88.32,23.19,19.24481328,20.5,4.589288486,749095.95,5951201.64
31-01-2007,1,Seca,Summer,Dadinco,90.24,23.84,19.04153355,25.2,4.739114094,749095.95,5951201.64
31-01-2007,1,Seca,Summer,Dadinco,72.28,16.65,14.39066551,15.7,5.0227003,749095.95,5951201.64
02-02-2007,2,Seca,Summer,Dadinco,81.86,17.76,14.9620893,18.7,5.471161036,749095.95,5951201.64
02-02-2007,2,Seca,Summer,Dadinco,86.93,21.1,19.00045025,11.05,4.575154739,749095.95,5951201.64
02-02-2007,2,Seca,Summer,Dadinco,88.87,21.57,18.64465382,15.69,4.766513815,749095.95,5951201.64
02-02-2007,2,Seca,Summer,Dadinco,100.16,24.31,20.74232082,17.2,4.82877499,749095.95,5951201.64
06-02-2007,2,Seca,Summer,Dadinco,82.5,20.05,17.61862917,13.8,4.682543641,749095.95,5951201.64
08-02-2007,2,Seca,Summer,Dadinco,94.76,21.55,17.7074774,21.7,5.351411601,749095.95,5951201.64
09-02-2007,2,Seca,Summer,Dadinco,84.2,22.45,19.88485385,12.9,4.234378619,749095.95,5951201.64
12-02-2007,2,Seca,Summer,Dadinco,87.7,21.26,18.2176521,16.7,4.81401223,749095.95,5951201.64
13-02-2007,2,Seca,Summer,Dadinco,90.19,21.89,18.40269021,18.95,4.900913888,749095.95,5951201.64
14-02-2007,2,Seca,Summer,Dadinco,101.39,24.61,21.7691287,13.05,4.657513003,749095.95,5951201.64
19-04-2007,4,Seca,Autum,El Carmen,81.54,21.19,14.99646143,41.3,5.437282681,723502.53,5887066.99
20-04-2007,4,Seca,Autum,El Carmen,99.3,25.18,17.41114645,44.62,5.70324305,723502.53,5887066.99
21-04-2007,4,Seca,Autum,El Carmen,93.1,23.2,16.91948658,37.12,5.502531034,723502.53,5887066.99
21-04-2007,4,Seca,Autum,El Carmen,92.12,23.94,16.30234934,46.85,5.650719298,723502.53,5887066.99
23-04-2007,4,Seca,Autum,El Carmen,93.97,23.64,16.8040944,40.68,5.592089509,723502.53,5887066.99
24-04-2007,4,Seca,Autum,El Carmen,98.6,26.07,19.06677393,36.73,5.171299578,723502.53,5887066.99
25-04-2007,4,Seca,Autum,El Carmen,104.63,27.19,19.66015907,38.3,5.321930489,723502.53,5887066.99
26-04-2007,4,Seca,Autum,El Carmen,97.89,25.77,19.31060322,33.45,5.069235739,723502.53,5887066.99
27-04-2007,4,Seca,Autum,El Carmen,98.1,25.21,18.61615714,35.42,5.269616025,723502.53,5887066.99
28-04-2007,4,Seca,Autum,El Carmen,95.47,25.85,17.319933,49.25,5.512146035,723502.53,5887066.99
30-04-2007,4,Seca,Autum,El Carmen,98,27.63,20.01158832,38.07,4.897162505,723502.53,5887066.99
02-05-2007,5,Seca,Autum,El Carmen,89.71,22.97,17.0000041,35.11761446,5.277057551,723502.53,5887066.99
03-05-2007,5,Seca,Autum,El Carmen,94.55,25.23,18.25086806,38.24,5.180575505,723502.53,5887066.99
04-05-2007,5,Seca,Autum,El Carmen,88.76,24.6,17.51887196,40.42,5.06653626,723502.53,5887066.99
05-05-2007,5,Seca,Autum,El Carmen,96.73,25.86,17.82710603,45.06,5.426006883,723502.53,5887066.99
07-05-2007,5,Seca,Autum,El Carmen,95.83,26.21,17.34612839,51.1,5.524575734,723502.53,5887066.99
07-05-2007,5,Seca,Autum,El Carmen,95.12,29.75,21.14427861,40.7,4.498616471,723502.53,5887066.99
08-05-2007,5,Seca,Autum,El Carmen,94.4,29.52,19.94190367,48.03,4.733750678,723502.53,5887066.99
09-05-2007,5,Seca,Autum,El Carmen,94.06,21.92,17.04000376,28.63846928,5.519951834,723502.53,5887066.99
10-05-2007,5,Seca,Autum,El Carmen,93.62,28.42,19.4284933,46.28,4.818695848,723502.53,5887066.99
10-05-2007,5,Seca,Autum,El Carmen,93.88,24.75,17.32465351,42.86,5.418867394,723502.53,5887066.99
